epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,212.695,1.84085,0.14286,0.85714,1.80245,0,0,0
2,222.866,1.84893,0.14286,1,1.78046,9.505e-06,9.505e-06,9.505e-06
3,223.169,1.91716,0.14286,1,1.7548,1.802e-05,1.802e-05,1.802e-05
4,223.431,1.87636,0.14286,1,1.7162,2.5545e-05,2.5545e-05,2.5545e-05
5,223.674,1.79821,0.57143,1,1.67348,3.208e-05,3.208e-05,3.208e-05
6,223.974,1.78576,0.71429,1,1.618,3.7625e-05,3.7625e-05,3.7625e-05
7,224.225,1.79162,0.71429,1,1.5675,4.218e-05,4.218e-05,4.218e-05
8,224.495,1.69842,0.71429,1,1.51991,4.5745e-05,4.5745e-05,4.5745e-05
9,224.836,1.63883,0.71429,1,1.46102,4.832e-05,4.832e-05,4.832e-05
10,225.204,1.562,0.71429,1,1.40081,4.9905e-05,4.9905e-05,4.9905e-05
11,330.604,1.4667,0.71429,1,1.33557,5.05e-05,5.05e-05,5.05e-05
12,332.458,1.51303,0.71429,1,1.28235,5.0105e-05,5.0105e-05,5.0105e-05
13,332.862,1.49547,0.85714,1,1.22346,4.872e-05,4.872e-05,4.872e-05
14,333.21,1.35867,1,1,1.17781,4.6345e-05,4.6345e-05,4.6345e-05
15,333.616,1.39079,1,1,1.13911,4.298e-05,4.298e-05,4.298e-05
16,333.921,1.27853,1,1,1.09665,3.8625e-05,3.8625e-05,3.8625e-05
17,334.262,1.30402,1,1,1.06157,3.328e-05,3.328e-05,3.328e-05
18,334.55,1.25074,1,1,1.06157,2.6945e-05,2.6945e-05,2.6945e-05
19,334.815,1.27873,1,1,1.04689,1.962e-05,1.962e-05,1.962e-05
20,335.139,1.19557,1,1,1.04689,1.1305e-05,1.1305e-05,1.1305e-05
